candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
16,span,qwen_sender,qwen_receiver,0,0,0.25158968567848206,0.581207275390625,1.4968206882476807,0.007677334360778332,0.7040353417396545
16,span,qwen_sender,qwen_receiver,8,8,0.6235378384590149,0.375946044921875,0.7529243230819702,0.1331096738576889,0.8963906168937683
16,span,qwen_sender,llama32_1b,0,0,0.10127116739749908,0.1442108154296875,1.6685514450073242,0.002369694411754608,0.33964285254478455
16,span,qwen_sender,llama32_1b,8,8,0.1117786094546318,0.1988677978515625,1.6475365161895752,0.02158588543534279,0.4964480996131897
16,span,qwen_receiver,qwen_sender,0,0,0.24708203971385956,0.576263427734375,1.505836009979248,0.007741357199847698,0.6903918981552124
16,span,qwen_receiver,qwen_sender,8,8,0.46215108036994934,0.4771728515625,1.0756977796554565,0.13511186838150024,0.9068149328231812
16,span,qwen_receiver,llama32_1b,0,0,0.10256195813417435,0.1678314208984375,1.6659698486328125,0.0030089239589869976,0.2519961893558502
16,span,qwen_receiver,llama32_1b,8,8,0.12819388508796692,0.234130859375,1.6147059202194214,0.021747838705778122,0.5144166946411133
16,span,llama32_1b,qwen_sender,0,0,0.2364523708820343,0.248870849609375,1.5270953178405762,0.007412789389491081,0.7034033536911011
16,span,llama32_1b,qwen_sender,8,8,0.2193922996520996,0.229644775390625,1.4685699939727783,3.888153076171875,0.5889503955841064
16,span,llama32_1b,qwen_receiver,0,0,0.23564326763153076,0.20208740234375,1.5287134647369385,0.0078123887069523335,0.6777635812759399
16,span,llama32_1b,qwen_receiver,8,8,0.2549450993537903,0.2701416015625,1.3094834089279175,7.730312347412109,0.6482770442962646
64,span,qwen_sender,qwen_receiver,0,0,0.6182153820991516,0.849761962890625,0.7635692954063416,0.002198178553953767,0.9000346064567566
64,span,qwen_sender,qwen_receiver,8,8,0.8282163143157959,0.774932861328125,0.3435673117637634,0.014699846506118774,0.9819738864898682
64,span,qwen_sender,llama32_1b,0,0,0.3139656186103821,0.4073638916015625,1.2431625127792358,0.000810398138128221,0.5920249223709106
64,span,qwen_sender,llama32_1b,8,8,0.33008071780204773,0.49688720703125,1.2109322547912598,0.012482676655054092,0.6980568170547485
64,span,qwen_receiver,qwen_sender,0,0,0.6113946437835693,0.81756591796875,0.7772107124328613,0.002198203466832638,0.8895875811576843
64,span,qwen_receiver,qwen_sender,8,8,0.6855400800704956,0.782196044921875,0.6289198398590088,0.01990521512925625,0.9688531160354614
64,span,qwen_receiver,llama32_1b,0,0,0.30179455876350403,0.405303955078125,1.2675046920776367,0.0008742306381464005,0.5388132333755493
64,span,qwen_receiver,llama32_1b,8,8,0.33001166582107544,0.5002593994140625,1.2110704183578491,0.013227102346718311,0.6886140704154968
64,span,llama32_1b,qwen_sender,0,0,0.61353600025177,0.662811279296875,0.7729280591011047,0.0020622548181563616,0.8832467794418335
64,span,llama32_1b,qwen_sender,8,8,0.5979750752449036,0.57318115234375,0.7763288021087646,0.9760105609893799,0.8951240181922913
64,span,llama32_1b,qwen_receiver,0,0,0.6119623184204102,0.64776611328125,0.7760753631591797,0.0020071754697710276,0.8726600408554077
64,span,llama32_1b,qwen_receiver,8,8,0.6309888362884521,0.650604248046875,0.7317068576812744,0.5549613237380981,0.9589841365814209
