sender,receiver,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
qwen_sender,llama32_1b,0,attn_topk,13.6885986328125,0.026735544204711914,0.08249779045581818,0.1274261474609375,0.0032243139285128564,0.2239794284105301,0.003231369802961126,0.3231986276805401
qwen_sender,llama32_1b,0,attn_topk_recv_block,149.71875,0.29241943359375,0.7395777702331543,0.7738876342773438,0.0001288202911382541,0.8500213623046875,0.00013587604553322308,0.9492405727505684
qwen_sender,llama32_1b,0,block_saliency,45.22900390625,0.08833789825439453,0.04699769616127014,0.04395294189453125,0.00043846450353157707,0.47914206981658936,0.00047747940334375016,0.7695196270942688
qwen_sender,llama32_1b,0,block_saliency_recv_block,147.4765625,0.2880401611328125,0.14940163493156433,0.1427764892578125,0.00037175904435571283,0.538873553276062,0.00039810171801946126,0.8092200756072998
qwen_sender,llama32_1b,0,global_important,11.146484375,0.021770477294921875,0.07269495725631714,0.17876434326171875,0.0003315271060273517,0.796033501625061,0.00033858285314636305,0.8952526897192001
qwen_sender,llama32_1b,0,global_important_recv_block,27.4375,0.0535888671875,0.32106631994247437,0.40570068359375,0.0002090015750582097,0.8039826154708862,0.00021605732399621047,0.9032017812132835
qwen_sender,llama32_1b,0,k_saliency,12.968505859375,0.025329113006591797,0.025390159338712692,0.0259246826171875,0.005739908025134355,0.12305119633674622,0.005754727520979941,0.22605063952505589
qwen_sender,llama32_1b,0,k_saliency_recv_block,226.359375,0.442108154296875,0.7067438364028931,0.7755126953125,0.00012576212611747906,0.850714385509491,0.00013281788233143743,0.9499335736036301
qwen_sender,llama32_1b,0,union,72.9857177734375,0.14255023002624512,0.17837579548358917,0.2879791259765625,0.0005252485207165591,0.6611796617507935,0.0005323042423697188,0.7603989019989967
qwen_sender,llama32_1b,0,union_recv_block,323.03125,0.63092041015625,0.8096495866775513,0.8330307006835938,0.00011114255175925791,0.8563053607940674,0.00011819830797321629,0.9555245637893677
qwen_sender,llama32_1b,4,attn_topk,14.81201171875,0.028929710388183594,0.09516087919473648,0.16082000732421875,0.019220398971810937,0.5135390162467957,0.018480770522728562,0.631530188024044
qwen_sender,llama32_1b,4,attn_topk_recv_block,167.11328125,0.32639312744140625,0.7754061222076416,0.7841720581054688,0.001545460894703865,0.8500679135322571,0.0008058327439357527,0.9680591076612473
qwen_sender,llama32_1b,4,block_saliency,44.907470703125,0.08770990371704102,0.0998619794845581,0.1528778076171875,0.007198066799901426,0.5395478010177612,0.006738568830769509,0.7709619626402855
qwen_sender,llama32_1b,4,block_saliency_recv_block,126.8984375,0.2478485107421875,0.27227020263671875,0.3064422607421875,0.00519326125504449,0.6340300440788269,0.00474594667321071,0.8507134094834328
qwen_sender,llama32_1b,4,global_important,12.00390625,0.02344512939453125,0.10424064844846725,0.2224884033203125,0.011947009130381048,0.5808089971542358,0.011207381379790604,0.6988001465797424
qwen_sender,llama32_1b,4,global_important_recv_block,27.4375,0.0535888671875,0.4114394187927246,0.4378509521484375,0.004036660888232291,0.6672918796539307,0.003297032613772899,0.7852830663323402
qwen_sender,llama32_1b,4,k_saliency,14.040283203125,0.027422428131103516,0.029479891061782837,0.0479278564453125,0.025641347048804164,0.37633877992630005,0.025106180226430297,0.5044194236397743
qwen_sender,llama32_1b,4,k_saliency_recv_block,260.65625,0.50909423828125,0.6304906606674194,0.6385726928710938,0.0025761746801435947,0.8124986886978149,0.001887648570118472,0.9371046498417854
qwen_sender,llama32_1b,4,union,72.2242431640625,0.14106297492980957,0.23399007320404053,0.39408111572265625,0.007205897651147097,0.7060155272483826,0.006466269318480045,0.8240066766738892
qwen_sender,llama32_1b,4,union_recv_block,327.9296875,0.6404876708984375,0.8456007242202759,0.8467559814453125,0.0013212655030656606,0.8569260835647583,0.0005816372722620144,0.9749172776937485
qwen_sender,llama32_1b,8,attn_topk,14.6131591796875,0.02854132652282715,0.09214171767234802,0.156982421875,0.021413577254861593,0.524495005607605,0.02067033271305263,0.6207857877016068
qwen_sender,llama32_1b,8,attn_topk_recv_block,145.39453125,0.28397369384765625,0.7399849891662598,0.72564697265625,0.003030888910870999,0.8323265314102173,0.002287643583258614,0.9286172986030579
qwen_sender,llama32_1b,8,block_saliency,44.693115234375,0.08729124069213867,0.1202332079410553,0.1867523193359375,0.017584248445928097,0.5420066714286804,0.015981472097337246,0.6928712204098701
qwen_sender,llama32_1b,8,block_saliency_recv_block,126.8984375,0.2478485107421875,0.5434946417808533,0.520538330078125,0.005866015620995313,0.7275186777114868,0.004321997694205493,0.8756891712546349
qwen_sender,llama32_1b,8,global_important,13.71875,0.02679443359375,0.07982952892780304,0.14185333251953125,0.021914365934208035,0.45842301845550537,0.02117112069390714,0.5547138303518295
qwen_sender,llama32_1b,8,global_important_recv_block,109.75,0.21435546875,0.5686487555503845,0.5061798095703125,0.004262521048076451,0.7841896414756775,0.003519275749567896,0.8804804086685181
qwen_sender,llama32_1b,8,k_saliency,13.825927734375,0.027003765106201172,0.02783070132136345,0.03852081298828125,0.02768794563598931,0.41074568033218384,0.026990734972059727,0.5131214708089828
qwen_sender,llama32_1b,8,k_saliency_recv_block,212.640625,0.415313720703125,0.6572415232658386,0.6225738525390625,0.0034918547607958317,0.8167372941970825,0.002781846735160798,0.9168987050652504
qwen_sender,llama32_1b,8,union,62.9278564453125,0.12290596961975098,0.20390602946281433,0.3143157958984375,0.013461426831781864,0.6545065641403198,0.01271818159148097,0.7507973089814186
qwen_sender,llama32_1b,8,union_recv_block,261.30078125,0.5103530883789062,0.7885053753852844,0.7877273559570312,0.0024905881145969033,0.8486340045928955,0.0017473429470555857,0.9449247792363167
