candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
16,span,qwen_receiver,llama32_1b,8,8,0.08771613240242004,0.15573883056640625,1.6819895505905151,0.022613203851506114,0.49966320395469666
16,span,qwen_receiver,llama32_1b,12,12,0.07010810077190399,0.123992919921875,1.7172057628631592,0.02547878073528409,0.5265704393386841
16,span,qwen_receiver,llama32_1b,15,15,0.07255861163139343,0.1163177490234375,1.712304711341858,0.08621269557625055,0.550963819026947
16,span,llama32_1b,qwen_sender,0,0,0.14097046852111816,0.15911865234375,1.7180590629577637,0.010662070475518703,0.6392335891723633
16,span,llama32_1b,qwen_sender,4,4,0.13845285773277283,0.10089111328125,1.7230942249298096,0.02336837910115719,0.775732159614563
16,span,llama32_1b,qwen_sender,8,8,0.12763001024723053,0.129730224609375,1.6595039367675781,4.278874397277832,0.5296716690063477
16,span,llama32_1b,qwen_sender,12,12,0.1466536670923233,0.160308837890625,1.4912667274475098,25.237442016601562,0.4916127622127533
16,span,llama32_1b,qwen_sender,15,15,0.13799184560775757,0.1481170654296875,1.7235023975372314,1.147836446762085,0.5679460763931274
16,span,llama32_1b,qwen_receiver,0,0,0.14076265692710876,0.1064605712890625,1.7184746265411377,0.011509735137224197,0.6120598316192627
16,span,llama32_1b,qwen_receiver,4,4,0.14503929018974304,0.127838134765625,1.7099213600158691,0.038728393614292145,0.7482284307479858
16,span,llama32_1b,qwen_receiver,8,8,0.14170172810554504,0.1465911865234375,1.4865206480026245,10.849178314208984,0.4889213442802429
16,span,llama32_1b,qwen_receiver,12,12,0.12998738884925842,0.173065185546875,1.2766995429992676,94.1768569946289,0.4390808641910553
16,span,llama32_1b,qwen_receiver,15,15,0.17107462882995605,0.1649017333984375,1.2019355297088623,6.880733489990234,0.39321035146713257
32,span,qwen_sender,qwen_receiver,0,0,0.25240540504455566,0.6458740234375,1.4951891899108887,0.006390300579369068,0.7237477898597717
32,span,qwen_sender,qwen_receiver,4,4,0.32249733805656433,0.5605926513671875,1.3550053834915161,0.0363130196928978,0.8077763319015503
32,span,qwen_sender,qwen_receiver,8,8,0.621231198310852,0.4477081298828125,0.7575376033782959,0.11290198564529419,0.9197350740432739
32,span,qwen_sender,qwen_receiver,12,12,0.781762957572937,0.4582061767578125,0.4364739954471588,0.567905843257904,0.9102159738540649
32,span,qwen_sender,qwen_receiver,15,15,0.6078759431838989,0.5491790771484375,0.7437537312507629,2.920401096343994,0.7546891570091248
32,span,qwen_sender,llama32_1b,0,0,0.12018141895532608,0.14452362060546875,1.6170589923858643,0.0019364041072549298,0.3680087924003601
32,span,qwen_sender,llama32_1b,4,4,0.13764947652816772,0.2018585205078125,1.5821229219436646,0.014954901649616659,0.5536971092224121
32,span,qwen_sender,llama32_1b,8,8,0.14121347665786743,0.227264404296875,1.5749949216842651,0.01718209940008819,0.5928525924682617
32,span,qwen_sender,llama32_1b,12,12,0.14007310569286346,0.25519561767578125,1.5772756338119507,0.018046644050627947,0.6208210587501526
32,span,qwen_sender,llama32_1b,15,15,0.13019810616970062,0.19857025146484375,1.5970256328582764,0.06744752265512943,0.6089926958084106
32,span,qwen_receiver,qwen_sender,0,0,0.24783267080783844,0.606292724609375,1.5043346881866455,0.006852774880826473,0.7029685378074646
32,span,qwen_receiver,qwen_sender,4,4,0.27093929052352905,0.501953125,1.4581215381622314,0.028603598475456238,0.7522943019866943
32,span,qwen_receiver,qwen_sender,8,8,0.4331682324409485,0.5192718505859375,1.133663535118103,0.11949000507593155,0.9074304103851318
32,span,qwen_receiver,qwen_sender,12,12,0.4945307970046997,0.4166412353515625,1.0009469985961914,2.463627815246582,0.920828104019165
32,span,qwen_receiver,qwen_sender,15,15,0.513410747051239,0.487945556640625,0.9731785655021667,0.5180606842041016,0.8354195356369019
32,span,qwen_receiver,llama32_1b,0,0,0.12013949453830719,0.16424560546875,1.617142915725708,0.0022034186986275017,0.26960450410842896
32,span,qwen_receiver,llama32_1b,4,4,0.15220627188682556,0.2315673828125,1.553009271621704,0.013790335156954825,0.5664964914321899
32,span,qwen_receiver,llama32_1b,8,8,0.15009558200836182,0.2413787841796875,1.5572307109832764,0.017055304488167167,0.5875554084777832
32,span,qwen_receiver,llama32_1b,12,12,0.12626254558563232,0.2170257568359375,1.6048967838287354,0.019075791584327817,0.6058868169784546
32,span,qwen_receiver,llama32_1b,15,15,0.1240372434258461,0.1890869140625,1.6093473434448242,0.0649125799536705,0.6330815553665161
32,span,llama32_1b,qwen_sender,0,0,0.24082209169864655,0.245208740234375,1.5183558464050293,0.007018543779850006,0.7127057313919067
32,span,llama32_1b,qwen_sender,4,4,0.24037444591522217,0.178497314453125,1.5192511081695557,0.014429043047130108,0.8443692326545715
32,span,llama32_1b,qwen_sender,8,8,0.2188824862241745,0.210784912109375,1.494505763053894,3.5512235164642334,0.6352123022079468
32,span,llama32_1b,qwen_sender,12,12,0.2446931004524231,0.254241943359375,1.3847944736480713,16.6926326751709,0.6564373970031738
32,span,llama32_1b,qwen_sender,15,15,0.221550852060318,0.2363433837890625,1.5568983554840088,0.9585127830505371,0.6446608304977417
32,span,llama32_1b,qwen_receiver,0,0,0.24003881216049194,0.198089599609375,1.5199223756790161,0.007306384388357401,0.6900310516357422
32,span,llama32_1b,qwen_receiver,4,4,0.25066936016082764,0.218231201171875,1.4986612796783447,0.02233058586716652,0.8307693004608154
32,span,llama32_1b,qwen_receiver,8,8,0.24386096000671387,0.2466888427734375,1.3537695407867432,7.880162239074707,0.6402706503868103
32,span,llama32_1b,qwen_receiver,12,12,0.20592787861824036,0.265716552734375,1.2129253149032593,77.09527587890625,0.5809077620506287
32,span,llama32_1b,qwen_receiver,15,15,0.25447118282318115,0.2607421875,1.1843056678771973,6.509390830993652,0.48369425535202026
64,span,qwen_sender,qwen_receiver,0,0,0.40562206506729126,0.7406005859375,1.188755750656128,0.0036902097053825855,0.8228319883346558
64,span,qwen_sender,qwen_receiver,4,4,0.486163854598999,0.7055206298828125,1.027672290802002,0.020304406061768532,0.8698734045028687
64,span,qwen_sender,qwen_receiver,8,8,0.711520791053772,0.6233673095703125,0.5769583582878113,0.04429527744650841,0.9585983157157898
64,span,qwen_sender,qwen_receiver,12,12,0.8569951057434082,0.5929107666015625,0.28600984811782837,0.2803816795349121,0.9563747048377991
64,span,qwen_sender,qwen_receiver,15,15,0.7341549396514893,0.701873779296875,0.508184015750885,1.9392704963684082,0.8281516432762146
64,span,qwen_sender,llama32_1b,0,0,0.2121119648218155,0.2418975830078125,1.4331979751586914,0.0011631055385805666,0.4775877892971039
64,span,qwen_sender,llama32_1b,4,4,0.23510491847991943,0.32649993896484375,1.3872120380401611,0.011190156918019056,0.626814067363739
64,span,qwen_sender,llama32_1b,8,8,0.2408784031867981,0.35654449462890625,1.3756650686264038,0.01282016176264733,0.6747223138809204
64,span,qwen_sender,llama32_1b,12,12,0.21961870789527893,0.36284637451171875,1.418184518814087,0.013847144786268473,0.6754666566848755
64,span,qwen_sender,llama32_1b,15,15,0.21309787034988403,0.30319976806640625,1.431226134300232,0.050578730180859566,0.6935527920722961
64,span,qwen_receiver,qwen_sender,0,0,0.39911922812461853,0.7041473388671875,1.2017614841461182,0.004036879166960716,0.7993773221969604
64,span,qwen_receiver,qwen_sender,4,4,0.4253278374671936,0.6628875732421875,1.1493443250656128,0.01662323996424675,0.8328014612197876
64,span,qwen_receiver,qwen_sender,8,8,0.5355240106582642,0.6605072021484375,0.9289519786834717,0.053849559277296066,0.9436273574829102
64,span,qwen_receiver,qwen_sender,12,12,0.6084829568862915,0.5550384521484375,0.7809327840805054,0.523248553276062,0.9622678756713867
64,span,qwen_receiver,qwen_sender,15,15,0.6828856468200684,0.6634368896484375,0.6342287659645081,0.35094916820526123,0.8998696804046631
