layers,method,full_ce,patched_ce,ce_delta,logit_kl,top1_match
"12,15",selective_oracle,1.6590137854218483,1.7170869559049606,0.058073170483112335,0.06707969913259149,0.8834393247961998
"12,15",baseline_1slot_linear,1.6590137854218483,1.7381825223565102,0.07916873693466187,0.0949534410610795,0.836227972060442
"12,15",multislot_headwise_norm,1.6590137854218483,1.7317147925496101,0.07270100712776184,0.09984393836930394,0.8594667352735996
"8,12,15",selective_oracle,1.6590137854218483,1.7719709947705269,0.11295720934867859,0.14861642569303513,0.8292563557624817
"8,12,15",baseline_1slot_linear,1.6590137854218483,1.7828414514660835,0.12382766604423523,0.18082353100180626,0.7923189736902714
"8,12,15",multislot_headwise_norm,1.6590137854218483,1.804974615573883,0.14596083015203476,0.2041218001395464,0.7794765196740627
