sender,receiver,layer,mode,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
qwen_sender,qwen_receiver,0,attn_topk,0.25444358587265015,0.73974609375,0.007568701170384884,0.6638553142547607,0.007568701170384884,0.6638553142547607
qwen_sender,qwen_receiver,0,block_saliency,0.07044778764247894,0.067138671875,0.0032639228738844395,0.6421516537666321,0.0005298735341057181,0.9695428013801575
qwen_sender,qwen_receiver,0,global_important,0.23617979884147644,0.4257965087890625,0.00012037161650368944,0.9882974028587341,0.00012037162377964705,0.9882974624633789
qwen_sender,qwen_receiver,0,k_saliency,0.11255505681037903,0.530242919921875,0.01064085029065609,0.5909547805786133,0.010566651821136475,0.598463773727417
qwen_sender,qwen_receiver,0,union,0.4409039616584778,0.887237548828125,0.0009356513037346303,0.9350566267967224,0.0009356513037346303,0.9350566267967224
qwen_sender,qwen_receiver,4,attn_topk,0.31865885853767395,0.5644683837890625,0.03312988951802254,0.7987545728683472,0.03312988951802254,0.7987545728683472
qwen_sender,qwen_receiver,4,block_saliency,0.1536535918712616,0.22796630859375,0.01704595610499382,0.7204386591911316,0.011810354888439178,0.8941946029663086
qwen_sender,qwen_receiver,4,global_important,0.23909378051757812,0.353912353515625,0.016049833968281746,0.8501758575439453,0.016049833968281746,0.8501758575439453
qwen_sender,qwen_receiver,4,k_saliency,0.12685203552246094,0.3048553466796875,0.07109705358743668,0.6969450116157532,0.07108552753925323,0.7061073780059814
qwen_sender,qwen_receiver,4,union,0.5055439472198486,0.7779693603515625,0.0075782425701618195,0.9299561977386475,0.0075782425701618195,0.9299561977386475
qwen_sender,qwen_receiver,8,attn_topk,0.6004433631896973,0.5789794921875,1.1545403003692627,0.8955085277557373,1.1325592994689941,0.8954141736030579
qwen_sender,qwen_receiver,8,block_saliency,0.29022669792175293,0.2780609130859375,0.2311711609363556,0.8591597676277161,0.2147391140460968,0.9165960550308228
qwen_sender,qwen_receiver,8,global_important,0.5780835151672363,0.34710693359375,0.11907006800174713,0.8868036270141602,0.11907006800174713,0.8868036270141602
qwen_sender,qwen_receiver,8,k_saliency,0.5186777114868164,0.3204193115234375,0.18199533224105835,0.8366563320159912,0.1823054552078247,0.8432874083518982
qwen_sender,qwen_receiver,8,union,0.7474253177642822,0.717742919921875,0.025473009794950485,0.9714288711547852,0.025473009794950485,0.9714289307594299
qwen_sender,qwen_receiver,12,attn_topk,0.6443998217582703,0.461517333984375,26.124221801757812,0.7860873937606812,25.016372680664062,0.7802846431732178
qwen_sender,qwen_receiver,12,block_saliency,0.6984161138534546,0.35821533203125,0.6793502569198608,0.8518071174621582,0.675930380821228,0.8632656335830688
qwen_sender,qwen_receiver,12,global_important,0.6875555515289307,0.419952392578125,0.8797964453697205,0.8598037958145142,0.879843533039093,0.8598037958145142
qwen_sender,qwen_receiver,12,k_saliency,0.6689145565032959,0.3549346923828125,1.2971858978271484,0.8206238150596619,1.4316834211349487,0.8234838843345642
qwen_sender,qwen_receiver,12,union,0.895063042640686,0.7395172119140625,0.19875723123550415,0.9674257636070251,0.19875723123550415,0.9674258232116699
qwen_sender,qwen_receiver,15,attn_topk,0.5890205502510071,0.54632568359375,3.832373857498169,0.7302047610282898,3.9978086948394775,0.7302836179733276
qwen_sender,qwen_receiver,15,block_saliency,0.18064773082733154,0.1831817626953125,7.070653438568115,0.3870554566383362,7.490962028503418,0.4301725924015045
qwen_sender,qwen_receiver,15,global_important,0.4298641085624695,0.3484954833984375,5.0459184646606445,0.6194509863853455,5.374627590179443,0.6206565499305725
qwen_sender,qwen_receiver,15,k_saliency,0.3583085536956787,0.29376220703125,5.280363082885742,0.5484028458595276,6.081969738006592,0.5586642026901245
qwen_sender,qwen_receiver,15,union,0.7953059673309326,0.7485198974609375,1.4936507940292358,0.8853489756584167,1.5034024715423584,0.8853298425674438
