budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.1,0,random_block,64.0,0.125,0.12526099663227797,0.1254405975341797,0.0003288389816589188,0.6636029928922653,0.0004052202457387466,0.8435030654072762
0.1,0,random_token,51.0,0.099609375,0.09958215430378914,0.0993795394897461,0.0005632108877762221,0.8055198490619659,0.0005785547255072743,0.8106594309210777
0.1,0,recent_block,64.0,0.125,0.00767121312674135,0.0022001266479492188,0.0006814491571276449,0.10664722416549921,0.0008048431045608595,0.6869899183511734
0.1,0,recent_token,51.0,0.099609375,0.0047183900605887175,0.0018558502197265625,0.0007063068842398934,0.0806488823145628,0.0008318530963151716,0.6790486723184586
0.1,0,sender_attn_block,64.0,0.125,0.4362688958644867,0.515894889831543,6.164505884953542e-05,0.9611572474241257,6.164505975903012e-05,0.9611572474241257
0.1,0,sender_k_norm,40.7275390625,0.07954597473144531,0.07977500557899475,0.06499481201171875,0.00279564771335572,0.28067320585250854,0.0028081668715458363,0.3808130584657192
0.1,0,sender_k_norm_block,64.0,0.125,0.30690382048487663,0.3765134811401367,9.812719326873776e-05,0.9082220047712326,9.652604876464466e-05,0.9417718276381493
0.1,0,sender_kxreceived,36.333251953125,0.07096338272094727,0.17969587445259094,0.35630035400390625,0.00041244163367082365,0.7227442860603333,0.000419497380789835,0.8219635188579559
0.1,0,sender_kxreceived_block,64.0,0.125,0.46291011571884155,0.6010160446166992,5.565433548326837e-05,0.9658555164933205,5.565433730225777e-05,0.9658555164933205
0.1,0,sender_received,36.869140625,0.07201004028320312,0.1981147825717926,0.38549041748046875,0.0002887162445404101,0.8068179488182068,0.0002957720098493155,0.9060371294617653
0.1,0,sender_received_block,64.0,0.125,0.46291011571884155,0.6010160446166992,5.565433548326837e-05,0.9658555164933205,5.565433730225777e-05,0.9658555164933205
0.1,0,uniform_block,64.0,0.125,0.34552377462387085,0.44672107696533203,0.00012329860874160659,0.9319724813103676,0.00012329860510362778,0.9319724515080452
0.1,4,random_block,64.0,0.125,0.1254753852263093,0.12615585327148438,0.0057579330750741065,0.6185668557882309,0.005607744795270264,0.8008375465869904
0.1,4,random_token,51.0,0.099609375,0.09973848704248667,0.09912300109863281,0.00887009792495519,0.7652755677700043,0.009053304442204535,0.7663827389478683
0.1,4,recent_block,64.0,0.125,0.0075343974167481065,0.010339736938476562,0.008721850696019828,0.09933376405388117,0.0061661204672418535,0.7381396740674973
0.1,4,recent_token,51.0,0.099609375,0.005568568827584386,0.008974075317382812,0.008805552963167429,0.07538150902837515,0.00610989477718249,0.735178992152214
0.1,4,sender_attn_block,64.0,0.125,0.45254426822066307,0.49738502502441406,0.0029253823158796877,0.8909734189510345,0.002925382403191179,0.8909734189510345
0.1,4,sender_k_norm,43.621337890625,0.08519792556762695,0.08395831286907196,0.1081695556640625,0.01922209351323545,0.4862769544124603,0.018630160484462976,0.6046981438994408
0.1,4,sender_k_norm_block,64.0,0.125,0.28273647651076317,0.31946754455566406,0.004549606877844781,0.710934616625309,0.004723518737591803,0.8161340951919556
0.1,4,sender_kxreceived,39.44140625,0.07703399658203125,0.2274101972579956,0.39936065673828125,0.007271686510648578,0.7054838538169861,0.006536040746141225,0.8234244734048843
0.1,4,sender_kxreceived_block,64.0,0.125,0.5595199465751648,0.6192951202392578,0.0017790815472835675,0.8873338624835014,0.0017790815472835675,0.8873338624835014
0.1,4,sender_received,38.583984375,0.07535934448242188,0.23265351355075836,0.4112548828125,0.006944516091607511,0.7132917642593384,0.006204888108186424,0.8312829360365868
