sender,receiver,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
qwen_sender,llama32_1b,0,attn_topk,13.6885986328125,0.026735544204711914,0.08249779045581818,0.1274261474609375,0.0032243139285128564,0.2239794284105301,0.003231369802961126,0.3231986276805401
qwen_sender,llama32_1b,0,attn_topk_recv_block,165.359375,0.322967529296875,0.7602614164352417,0.7848052978515625,0.0001282268112845486,0.8504319787025452,0.00013528255840355996,0.9496511667966843
qwen_sender,llama32_1b,0,block_saliency,45.22900390625,0.08833789825439453,0.04699769616127014,0.04395294189453125,0.00043846450353157707,0.47914206981658936,0.00047747940334375016,0.7695196270942688
qwen_sender,llama32_1b,0,block_saliency_recv_block,205.78125,0.40191650390625,0.27897125482559204,0.22238922119140625,0.00027098409191239625,0.5693444013595581,0.0002642676408868283,0.8304339498281479
qwen_sender,llama32_1b,0,global_important,11.146484375,0.021770477294921875,0.07269495725631714,0.17876434326171875,0.0003315271060273517,0.796033501625061,0.00033858285314636305,0.8952526897192001
qwen_sender,llama32_1b,0,global_important_recv_block,54.875,0.107177734375,0.4315524399280548,0.544097900390625,0.00014939076390874106,0.8337107300758362,0.00015644651830371004,0.9329299330711365
qwen_sender,llama32_1b,0,k_saliency,12.968505859375,0.025329113006591797,0.025390159338712692,0.0259246826171875,0.005739908025134355,0.12305119633674622,0.005754727520979941,0.22605063952505589
qwen_sender,llama32_1b,0,k_saliency_recv_block,246.9375,0.4822998046875,0.7434234619140625,0.7929534912109375,0.00012455408796085976,0.8515105843544006,0.00013160983326088171,0.9507297873497009
qwen_sender,llama32_1b,0,union,72.9857177734375,0.14255023002624512,0.17837579548358917,0.2879791259765625,0.0005252485207165591,0.6611796617507935,0.0005323042423697188,0.7603989019989967
qwen_sender,llama32_1b,0,union_recv_block,356.078125,0.695465087890625,0.840347409248352,0.8484878540039062,0.00010955154266412137,0.8568730354309082,0.00011660729524010094,0.9560922160744667
qwen_sender,llama32_1b,4,attn_topk,14.81201171875,0.028929710388183594,0.09516087919473648,0.16082000732421875,0.019220398971810937,0.5135390162467957,0.018480770522728562,0.631530188024044
qwen_sender,llama32_1b,4,attn_topk_recv_block,195.2265625,0.3813018798828125,0.822971522808075,0.8272018432617188,0.0013866037770640105,0.8538755774497986,0.0006469756262958981,0.9718667417764664
qwen_sender,llama32_1b,4,block_saliency,44.907470703125,0.08770990371704102,0.0998619794845581,0.1528778076171875,0.007198066799901426,0.5395478010177612,0.006738568830769509,0.7709619626402855
qwen_sender,llama32_1b,4,block_saliency_recv_block,164.625,0.321533203125,0.4393485486507416,0.4962158203125,0.004061503510456532,0.6826835870742798,0.003516340657370165,0.885486014187336
qwen_sender,llama32_1b,4,global_important,12.00390625,0.02344512939453125,0.10424064844846725,0.2224884033203125,0.011947009130381048,0.5808089971542358,0.011207381379790604,0.6988001465797424
qwen_sender,llama32_1b,4,global_important_recv_block,54.875,0.107177734375,0.5112340450286865,0.5602264404296875,0.0025998043129220605,0.7762900590896606,0.0018601761985337362,0.894281230866909
qwen_sender,llama32_1b,4,k_saliency,14.040283203125,0.027422428131103516,0.029479891061782837,0.0479278564453125,0.025641347048804164,0.37633877992630005,0.025106180226430297,0.5044194236397743
qwen_sender,llama32_1b,4,k_saliency_recv_block,322.390625,0.629669189453125,0.8069632649421692,0.8272628784179688,0.001405439936206676,0.8520848751068115,0.0006658117563347332,0.9700759947299957
qwen_sender,llama32_1b,4,union,72.2242431640625,0.14106297492980957,0.23399007320404053,0.39408111572265625,0.007205897651147097,0.7060155272483826,0.006466269318480045,0.8240066766738892
qwen_sender,llama32_1b,4,union_recv_block,352.0390625,0.6875762939453125,0.8551604151725769,0.855621337890625,0.0013156663626432419,0.8573539853096008,0.0005760380663559772,0.975345142185688
qwen_sender,llama32_1b,8,attn_topk,14.6131591796875,0.02854132652282715,0.09214171767234802,0.156982421875,0.021413577254861593,0.524495005607605,0.02067033271305263,0.6207857877016068
qwen_sender,llama32_1b,8,attn_topk_recv_block,175.6015625,0.3429718017578125,0.7898560762405396,0.781463623046875,0.0026606691244523972,0.8430914282798767,0.0019174239569110796,0.9393821954727173
qwen_sender,llama32_1b,8,block_saliency,44.693115234375,0.08729124069213867,0.1202332079410553,0.1867523193359375,0.017584248445928097,0.5420066714286804,0.015981472097337246,0.6928712204098701
qwen_sender,llama32_1b,8,block_saliency_recv_block,157.765625,0.308135986328125,0.6008297204971313,0.5952377319335938,0.004939356178510934,0.7548863887786865,0.0033953384263440967,0.9030569270253181
qwen_sender,llama32_1b,8,global_important,13.71875,0.02679443359375,0.07982952892780304,0.14185333251953125,0.021914365934208035,0.45842301845550537,0.02117112069390714,0.5547138303518295
qwen_sender,llama32_1b,8,global_important_recv_block,164.625,0.321533203125,0.6868656873703003,0.6696701049804688,0.0032730012317188084,0.8267132639884949,0.002529756136937067,0.9230040609836578
qwen_sender,llama32_1b,8,k_saliency,13.825927734375,0.027003765106201172,0.02783070132136345,0.03852081298828125,0.02768794563598931,0.41074568033218384,0.026990734972059727,0.5131214708089828
qwen_sender,llama32_1b,8,k_saliency_recv_block,288.09375,0.56268310546875,0.7612857222557068,0.7536697387695312,0.0026570371410343796,0.8450566530227661,0.0019137921481160447,0.9413474276661873
qwen_sender,llama32_1b,8,union,62.9278564453125,0.12290596961975098,0.20390602946281433,0.3143157958984375,0.013461426831781864,0.6545065641403198,0.01271818159148097,0.7507973089814186
qwen_sender,llama32_1b,8,union_recv_block,322.4765625,0.6298370361328125,0.8240646719932556,0.8221969604492188,0.00236035228590481,0.8528584837913513,0.0016171072493307292,0.9491492807865143
qwen_sender,llama32_1b,12,attn_topk,14.819091796875,0.028943538665771484,0.09513077139854431,0.16815185546875,0.024132877122610807,0.548385500907898,0.02337184245698154,0.641390934586525
qwen_sender,llama32_1b,12,attn_topk_recv_block,170.6875,0.3333740234375,0.7853821516036987,0.7941970825195312,0.0027569024241529405,0.8483915328979492,0.0019958683114964515,0.9413968995213509
qwen_sender,llama32_1b,12,block_saliency,44.264404296875,0.08645391464233398,0.12697254121303558,0.230224609375,0.016434088116511703,0.6221672296524048,0.015556955244392157,0.74077457934618
qwen_sender,llama32_1b,12,block_saliency_recv_block,150.90625,0.29473876953125,0.6274251341819763,0.624725341796875,0.003889842628268525,0.7885881662368774,0.0029377103492151946,0.9065940007567406
qwen_sender,llama32_1b,12,global_important,15.43359375,0.03014373779296875,0.07817748934030533,0.17449188232421875,0.0233342288993299,0.54381263256073,0.022573194466531277,0.6368180513381958
qwen_sender,llama32_1b,12,global_important_recv_block,164.625,0.321533203125,0.7122153043746948,0.7254409790039062,0.002820031630108133,0.8401967883110046,0.0020589974301401526,0.9332021549344063
qwen_sender,llama32_1b,12,k_saliency,15.0048828125,0.029306411743164062,0.025406649336218834,0.03815460205078125,0.032881706953048706,0.42724859714508057,0.03217768296599388,0.5350807756185532
qwen_sender,llama32_1b,12,k_saliency_recv_block,274.375,0.535888671875,0.7085323333740234,0.7047653198242188,0.0030904799641575664,0.8298112750053406,0.002297456405358389,0.9339825063943863
qwen_sender,llama32_1b,12,union,67.449951171875,0.13173818588256836,0.21783365309238434,0.38103485107421875,0.013990389532409608,0.6783145070075989,0.013229355332441628,0.7713198959827423
qwen_sender,llama32_1b,12,union_recv_block,310.4453125,0.6063385009765625,0.8239508867263794,0.8319015502929688,0.0024144899798557162,0.8545557856559753,0.0016534557653358206,0.9475611597299576
qwen_sender,llama32_1b,15,attn_topk,15.317138671875,0.02991628646850586,0.08886141330003738,0.1613922119140625,0.08662428334355354,0.5351293087005615,0.08310575783252716,0.6355636715888977
qwen_sender,llama32_1b,15,attn_topk_recv_block,181.0625,0.3536376953125,0.7960219979286194,0.7850494384765625,0.008680038386955857,0.8401287198066711,0.005161516135558486,0.9405630901455879
qwen_sender,llama32_1b,15,block_saliency,47.051025390625,0.09189653396606445,0.08771475404500961,0.11774444580078125,0.05040750512853265,0.5669679641723633,0.04639167385175824,0.756155900657177
qwen_sender,llama32_1b,15,block_saliency_recv_block,144.046875,0.281341552734375,0.4902973473072052,0.4649810791015625,0.02496167062781751,0.6987299919128418,0.0218451670370996,0.8636839836835861
qwen_sender,llama32_1b,15,global_important,16.291015625,0.031818389892578125,0.05258634313941002,0.0900421142578125,0.07206722907721996,0.5486466288566589,0.06862487085163593,0.6491886004805565
qwen_sender,llama32_1b,15,global_important_recv_block,274.375,0.535888671875,0.829195499420166,0.8117446899414062,0.006930839561391622,0.8532499074935913,0.003412317862967029,0.9536842778325081
qwen_sender,llama32_1b,15,k_saliency,16.291015625,0.031818389892578125,0.027835315093398094,0.03427886962890625,0.12084958329796791,0.3893856704235077,0.11829096917062998,0.5079838037490845
qwen_sender,llama32_1b,15,k_saliency_recv_block,288.09375,0.56268310546875,0.7301099300384521,0.7079315185546875,0.014844058081507683,0.8151298761367798,0.011582868522964418,0.9186668172478676
qwen_sender,llama32_1b,15,union,76.1800537109375,0.1487891674041748,0.19373005628585815,0.2986907958984375,0.04830432403832674,0.7264761924743652,0.044785800855606794,0.8269105553627014
