layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0,learned_block_predictor,191.205078125,0.3734474182128906,0.5731553435325623,0.6789169311523438,0.00028267852394492365,0.8159364461898804,0.0002897343038057443,0.9151556864380836
4,learned_block_predictor,191.205078125,0.3734474182128906,0.522113561630249,0.6247329711914062,0.005097515066154301,0.7787355780601501,0.004357887140940875,0.8967266902327538
8,learned_block_predictor,190.34765625,0.37177276611328125,0.39180848002433777,0.47835540771484375,0.010260606766678393,0.7252154350280762,0.009517361526377499,0.821506179869175
12,learned_block_predictor,188.84716796875,0.36884212493896484,0.3841703534126282,0.5618133544921875,0.011194284656085074,0.7055832147598267,0.01043325022328645,0.7985886260867119
15,learned_block_predictor,189.9725341796875,0.37104010581970215,0.41022545099258423,0.5698471069335938,0.03216580813750625,0.8093682527542114,0.028647285187616944,0.9098026603460312
