layer,mode,out_mse,out_cosine,gold_topk_weight_mse,gold_topk_weight_cosine,candidate_l1
0,candidate_sender_prop,4.2484310445919014e-05,0.9964892864227295,0.00014178523269947618,0.996358335018158,0.06885498762130737
0,candidate_uniform,0.013223982726534208,0.23598343630631766,0.011611474367479483,0.8767212231953939,1.6822916666666667
0,large_preserve_saliency,0.0009920659746664267,0.8574074506759644,0.0014649333509926994,0.9613548318545023,0.38310813903808594
0,large_preserve_uniform,0.0013065796811133623,0.8313694000244141,0.0018609588732942939,0.9530977010726929,0.4126942853132884
0,oracle_gold_on_candidates,1.387949648723312e-17,1.0,1.9001883292273552e-17,1.0,2.0966551161905045e-08
4,candidate_sender_prop,0.006088819199552138,0.9602944453557333,0.004711783413464825,0.9199144840240479,0.3381822605927785
4,candidate_uniform,0.09293487171332042,0.3429792523384094,0.016511963680386543,0.8049066066741943,1.685603380203247
4,large_preserve_saliency,0.010821433737874031,0.9051180084546407,0.007191113972415526,0.8770708441734314,0.576423446337382
4,large_preserve_uniform,0.010762174303332964,0.9055474599202474,0.007157649379223585,0.8773709932963053,0.5733187397321066
4,oracle_gold_on_candidates,2.1661040328910228e-16,1.0,2.511541252079918e-17,1.0,2.4024350508966563e-08
8,candidate_sender_prop,1.877864122390747,0.8045258124669393,0.04309034595886866,0.6807866096496582,0.9363585710525513
8,candidate_uniform,3.008457064628601,0.29828839004039764,0.04870077843467394,0.5778425137201945,1.8014510075251262
8,large_preserve_saliency,1.8660238186518352,0.7958078781763712,0.04522794112563133,0.6598519086837769,1.00272403160731
8,large_preserve_uniform,1.8845904270807903,0.7927221655845642,0.045213362822930016,0.6598251859347025,1.0007829268773396
8,oracle_gold_on_candidates,6.5931699243610185e-15,1.0,4.531056174932335e-17,1.0,2.608741903979232e-08
12,candidate_sender_prop,34.064849853515625,0.6917715072631836,0.08872089286645253,0.4980776607990265,1.2336145242055256
12,candidate_uniform,47.41482734680176,0.30890439947446185,0.08202790965636571,0.4246927301088969,1.9175857702891033
12,large_preserve_saliency,33.75925636291504,0.6992104649543762,0.08926541358232498,0.4966299037138621,1.238366723060608
12,large_preserve_uniform,34.02507082621256,0.688654621442159,0.08945794403553009,0.4959702392419179,1.2389539082845051
12,oracle_gold_on_candidates,8.145853342713099e-14,1.0,4.8158558936140713e-17,1.0,2.8434839075922962e-08
16,candidate_sender_prop,5.086497783660889,0.6311595439910889,0.11363246540228526,0.4546078642209371,1.2383073568344116
16,candidate_uniform,7.156808535257976,0.32306692004203796,0.10094370196262996,0.37104745705922443,1.9568063418070476
16,large_preserve_saliency,5.086821397145589,0.6311188340187073,0.11370552082856496,0.45453399419784546,1.2384237051010132
16,large_preserve_uniform,5.0868221918741865,0.631118655204773,0.11370446532964706,0.45453643798828125,1.238422950108846
16,oracle_gold_on_candidates,1.635359763234731e-14,1.0,4.0104098376734934e-17,1.0,2.0015633594994142e-08
20,candidate_sender_prop,63.08646774291992,0.5272340973218282,0.13488627473513284,0.4125089844067891,1.2963207165400188
20,candidate_uniform,62.323726654052734,0.32682812213897705,0.10837840537230174,0.3555880089600881,1.9675334692001343
20,large_preserve_saliency,63.08647028605143,0.5272340575853983,0.1348560949166616,0.41316501299540204,1.296320875485738
20,large_preserve_uniform,63.08647028605143,0.5272340575853983,0.13485699892044067,0.41313669085502625,1.296320875485738
20,oracle_gold_on_candidates,1.7007169101481676e-14,1.0,2.7985223425413607e-18,1.0,2.7286263989031076e-09
24,candidate_sender_prop,387.54762776692706,0.5330306192239126,0.12153124312559764,0.4244847595691681,1.1714245080947876
24,candidate_uniform,413.43408203125,0.26733585198720294,0.10919350385665894,0.3539086580276489,1.9685254494349163
24,large_preserve_saliency,387.54762776692706,0.5330306192239126,0.12153124312559764,0.4244847595691681,1.1714245080947876
24,large_preserve_uniform,387.54762776692706,0.5330306192239126,0.12153124312559764,0.4244847595691681,1.1714245080947876
24,oracle_gold_on_candidates,9.127348436358773e-15,1.0,0.0,1.0,3.446293805886569e-10
27,candidate_sender_prop,217.22081502278647,0.5187192459901174,0.12989287823438644,0.41342631975809735,1.207229455312093
27,candidate_uniform,211.63551076253256,0.3647188146909078,0.10923623045285542,0.3538168668746948,1.9685028394063313
27,large_preserve_saliency,217.22081502278647,0.5187192459901174,0.12989287823438644,0.41342631975809735,1.207229455312093
27,large_preserve_uniform,217.22081502278647,0.5187192459901174,0.12989287823438644,0.41342631975809735,1.207229455312093
27,oracle_gold_on_candidates,6.752316968410418e-15,1.0,3.854955648273154e-19,1.0,4.503589908407453e-10
