candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,llama32_1b,qwen_sender,12,12,0.8202533523241679,0.768809994061788,0.33894848823547363,2.924686769644419,0.9209306438763937
8,llama32_1b,qwen_sender,15,15,0.7299121618270874,0.7435470223426819,0.540175606807073,0.2832096815109253,0.8701469500859579
8,llama32_1b,qwen_receiver,0,0,0.7685378988583883,0.7642271717389425,0.46292420228322345,0.0006224511501689752,0.9234310984611511
8,llama32_1b,qwen_receiver,4,4,0.762992242972056,0.7639846404393514,0.47401554385821026,0.00759240984916687,0.9280197819073995
8,llama32_1b,qwen_receiver,8,8,0.7981215516726176,0.7683249115943909,0.381207009156545,0.6903567910194397,0.9221757849057516
8,llama32_1b,qwen_receiver,12,12,0.7942841053009033,0.7644250392913818,0.3610268880923589,12.061779340108236,0.9032561977704366
8,llama32_1b,qwen_receiver,15,15,0.7674323121706644,0.7552274862925211,0.4091403086980184,1.7862470547358196,0.8335249622662863
16,qwen_sender,qwen_receiver,0,0,0.9746914108594259,0.9790326356887817,0.05061722934866945,4.8580255224806024e-05,0.9938712120056152
16,qwen_sender,qwen_receiver,4,4,0.9765039483706156,0.975949764251709,0.04699216332907478,0.0003560905994769807,0.9961398839950562
16,qwen_sender,qwen_receiver,8,8,0.989763081073761,0.9804942806561788,0.020473792605722945,0.0008190167418433703,0.9988422393798828
16,qwen_sender,qwen_receiver,12,12,0.9898616671562195,0.9813687205314636,0.020276647992432117,0.012386454230484864,0.995726466178894
16,qwen_sender,qwen_receiver,15,15,0.9642024834950765,0.9734924038251241,0.06583610782399774,0.2871784269809723,0.9696689049402872
16,qwen_sender,llama32_1b,0,0,0.9836111664772034,0.9722669124603271,0.03277771764745315,4.686967732444221e-06,0.9907175501187643
16,qwen_sender,llama32_1b,4,4,0.9366493622461954,0.9668415586153666,0.12670131283812225,0.0013729810702519292,0.9583104451497396
16,qwen_sender,llama32_1b,8,8,0.9420470197995504,0.9628012577692667,0.11590593432386716,0.001282355486182496,0.9683704972267151
16,qwen_sender,llama32_1b,12,12,0.9530989130338033,0.9675532380739847,0.09380218712612987,0.0011743259128706995,0.970876673857371
16,qwen_sender,llama32_1b,15,15,0.9160443941752116,0.9595300952593485,0.16791129981478056,0.006806668204565843,0.9657081961631775
16,qwen_receiver,qwen_sender,0,0,0.9749412933985392,0.9786560336748759,0.05011747886116306,3.8443417982610605e-05,0.9941655397415161
16,qwen_receiver,qwen_sender,4,4,0.9755834341049194,0.9771050413449606,0.04883319170524677,0.00020108544898297018,0.9964204827944437
16,qwen_receiver,qwen_sender,8,8,0.9802607893943787,0.9779730836550394,0.03947843564674258,0.0026581532025981383,0.9982448617617289
16,qwen_receiver,qwen_sender,12,12,0.9917696118354797,0.9810112913449606,0.01646085463774701,0.002408886117336806,0.9987144271532694
16,qwen_receiver,qwen_sender,15,15,0.979537824789683,0.9789879520734152,0.040924335829913616,0.011215376667678356,0.9919428825378418
16,qwen_receiver,llama32_1b,0,0,0.9829969008763632,0.9709648291269938,0.03400628175586462,4.89002545123185e-06,0.9897599220275879
16,qwen_receiver,llama32_1b,4,4,0.9292634526888529,0.9681947032610575,0.141473059852918,0.0014373710388705756,0.9567195971806844
16,qwen_receiver,llama32_1b,8,8,0.9274662137031555,0.9627150893211365,0.1450676377862692,0.0018607625873604168,0.9590616623560587
16,qwen_receiver,llama32_1b,12,12,0.9434088667233785,0.965443750222524,0.11318228145440419,0.0015213951216234516,0.9649822115898132
16,qwen_receiver,llama32_1b,15,15,0.9263141552607218,0.9624183177947998,0.14737170189619064,0.006066606079305832,0.9696203072865804
16,llama32_1b,qwen_sender,0,0,0.9736825823783875,0.9704350630442301,0.05263487994670868,2.9537409318436403e-05,0.9942638874053955
16,llama32_1b,qwen_sender,4,4,0.971400777498881,0.9666819969813029,0.05719851516187191,0.0003331770209721678,0.9925952752431234
16,llama32_1b,qwen_sender,8,8,0.9776627620061239,0.9650990764300028,0.044674476298193135,0.002861775690689683,0.9951044321060181
16,llama32_1b,qwen_sender,12,12,0.9863153100013733,0.976926326751709,0.02736940630711615,0.006310220128701379,0.998731811841329
16,llama32_1b,qwen_sender,15,15,0.9575536847114563,0.9680925806363424,0.08489260760446389,0.02634745029111703,0.982819139957428
16,llama32_1b,qwen_receiver,0,0,0.9734596411387125,0.9702627261479696,0.05308076413348317,3.3867496085804305e-05,0.9949651757876078
16,llama32_1b,qwen_receiver,4,4,0.9713247815767924,0.9696116844813029,0.05735047999769449,0.0005829027068102732,0.993325670560201
16,llama32_1b,qwen_receiver,8,8,0.9576340516408285,0.9715265035629272,0.07917076038817565,0.23811111544879773,0.9847813447316488
16,llama32_1b,qwen_receiver,12,12,0.9678313334782919,0.9760710199673971,0.06260211191450556,0.3482458496000618,0.9934646288553873
16,llama32_1b,qwen_receiver,15,15,0.9510662953058878,0.968130866686503,0.08694460242986679,0.3976968809341391,0.9635225137074789
32,qwen_sender,qwen_receiver,0,0,1.0,1.0,2.0966551161905045e-08,1.387949648723312e-17,1.0
32,qwen_sender,qwen_receiver,4,4,1.0,1.0,2.4024350508966563e-08,2.1661040328910228e-16,1.0
32,qwen_sender,qwen_receiver,8,8,1.0,1.0,2.608741903979232e-08,6.5931699243610185e-15,1.0
32,qwen_sender,qwen_receiver,12,12,1.0,1.0,2.8434839075922962e-08,8.145853342713099e-14,1.0
32,qwen_sender,qwen_receiver,15,15,1.0,1.0,2.7138228257210056e-08,1.8618882500037796e-14,1.0
32,qwen_sender,llama32_1b,0,0,1.0,1.0,3.6846335168168785e-08,1.9524458918020426e-18,1.0
32,qwen_sender,llama32_1b,4,4,1.0,1.0,3.866054143486508e-08,1.8557640429764534e-17,1.0
32,qwen_sender,llama32_1b,8,8,1.0,1.0,3.668192150030336e-08,3.8504724810028954e-17,1.0
32,qwen_sender,llama32_1b,12,12,1.0,1.0,3.806999752479593e-08,2.1492825210413688e-17,1.0
32,qwen_sender,llama32_1b,15,15,1.0,1.0,3.5564266198662153e-08,9.428038965175402e-17,1.0
32,qwen_receiver,qwen_sender,0,0,1.0,1.0,2.1249885406859903e-08,1.318574782783728e-17,1.0
32,qwen_receiver,qwen_sender,4,4,1.0,1.0,2.1930105139252493e-08,1.1308953048658912e-16,1.0
32,qwen_receiver,qwen_sender,8,8,1.0,1.0,2.7181461822086323e-08,7.877065902220197e-15,1.0
32,qwen_receiver,qwen_sender,12,12,1.0,1.0,2.9115764021980794e-08,3.557420019730898e-14,1.0
32,qwen_receiver,qwen_sender,15,15,1.0,1.0,3.774900155425106e-08,6.2041655258254286e-15,1.0
32,qwen_receiver,llama32_1b,0,0,1.0,1.0,3.6846335168168785e-08,1.9524458918020426e-18,1.0
32,qwen_receiver,llama32_1b,4,4,1.0,1.0,3.866054143486508e-08,1.8557640429764534e-17,1.0
32,qwen_receiver,llama32_1b,8,8,1.0,1.0,3.668192150030336e-08,3.8504724810028954e-17,1.0
32,qwen_receiver,llama32_1b,12,12,1.0,1.0,3.806999752479593e-08,2.1492825210413688e-17,1.0
32,qwen_receiver,llama32_1b,15,15,1.0,1.0,3.5564266198662153e-08,9.428038965175402e-17,1.0
32,llama32_1b,qwen_sender,0,0,1.0,1.0,2.1249885406859903e-08,1.318574782783728e-17,1.0
32,llama32_1b,qwen_sender,4,4,1.0,1.0,2.1930105139252493e-08,1.1308953048658912e-16,1.0
32,llama32_1b,qwen_sender,8,8,1.0,1.0,2.7181461822086323e-08,7.877065902220197e-15,1.0
32,llama32_1b,qwen_sender,12,12,1.0,1.0,2.9115764021980794e-08,3.557420019730898e-14,1.0
32,llama32_1b,qwen_sender,15,15,1.0,1.0,3.774900155425106e-08,6.2041655258254286e-15,1.0
32,llama32_1b,qwen_receiver,0,0,1.0,1.0,2.0966551161905045e-08,1.387949648723312e-17,1.0
32,llama32_1b,qwen_receiver,4,4,1.0,1.0,2.4024350508966563e-08,2.1661040328910228e-16,1.0
32,llama32_1b,qwen_receiver,8,8,1.0,1.0,2.608741903979232e-08,6.5931699243610185e-15,1.0
32,llama32_1b,qwen_receiver,12,12,1.0,1.0,2.8434839075922962e-08,8.145853342713099e-14,1.0
32,llama32_1b,qwen_receiver,15,15,1.0,1.0,2.7138228257210056e-08,1.8618882500037796e-14,1.0
64,qwen_sender,qwen_receiver,0,0,1.0,1.0,2.0966551161905045e-08,1.387949648723312e-17,1.0
64,qwen_sender,qwen_receiver,4,4,1.0,1.0,2.4024350508966563e-08,2.1661040328910228e-16,1.0
64,qwen_sender,qwen_receiver,8,8,1.0,1.0,2.608741903979232e-08,6.5931699243610185e-15,1.0
64,qwen_sender,qwen_receiver,12,12,1.0,1.0,2.8434839075922962e-08,8.145853342713099e-14,1.0
64,qwen_sender,qwen_receiver,15,15,1.0,1.0,2.7138228257210056e-08,1.8618882500037796e-14,1.0
64,qwen_sender,llama32_1b,0,0,1.0,1.0,3.6846335168168785e-08,1.9524458918020426e-18,1.0
64,qwen_sender,llama32_1b,4,4,1.0,1.0,3.866054143486508e-08,1.8557640429764534e-17,1.0
64,qwen_sender,llama32_1b,8,8,1.0,1.0,3.668192150030336e-08,3.8504724810028954e-17,1.0
64,qwen_sender,llama32_1b,12,12,1.0,1.0,3.806999752479593e-08,2.1492825210413688e-17,1.0
64,qwen_sender,llama32_1b,15,15,1.0,1.0,3.5564266198662153e-08,9.428038965175402e-17,1.0
64,qwen_receiver,qwen_sender,0,0,1.0,1.0,2.1249885406859903e-08,1.318574782783728e-17,1.0
64,qwen_receiver,qwen_sender,4,4,1.0,1.0,2.1930105139252493e-08,1.1308953048658912e-16,1.0
64,qwen_receiver,qwen_sender,8,8,1.0,1.0,2.7181461822086323e-08,7.877065902220197e-15,1.0
64,qwen_receiver,qwen_sender,12,12,1.0,1.0,2.9115764021980794e-08,3.557420019730898e-14,1.0
64,qwen_receiver,qwen_sender,15,15,1.0,1.0,3.774900155425106e-08,6.2041655258254286e-15,1.0
64,qwen_receiver,llama32_1b,0,0,1.0,1.0,3.6846335168168785e-08,1.9524458918020426e-18,1.0
64,qwen_receiver,llama32_1b,4,4,1.0,1.0,3.866054143486508e-08,1.8557640429764534e-17,1.0
64,qwen_receiver,llama32_1b,8,8,1.0,1.0,3.668192150030336e-08,3.8504724810028954e-17,1.0
64,qwen_receiver,llama32_1b,12,12,1.0,1.0,3.806999752479593e-08,2.1492825210413688e-17,1.0
64,qwen_receiver,llama32_1b,15,15,1.0,1.0,3.5564266198662153e-08,9.428038965175402e-17,1.0
64,llama32_1b,qwen_sender,0,0,1.0,1.0,2.1249885406859903e-08,1.318574782783728e-17,1.0
64,llama32_1b,qwen_sender,4,4,1.0,1.0,2.1930105139252493e-08,1.1308953048658912e-16,1.0
64,llama32_1b,qwen_sender,8,8,1.0,1.0,2.7181461822086323e-08,7.877065902220197e-15,1.0
64,llama32_1b,qwen_sender,12,12,1.0,1.0,2.9115764021980794e-08,3.557420019730898e-14,1.0
64,llama32_1b,qwen_sender,15,15,1.0,1.0,3.774900155425106e-08,6.2041655258254286e-15,1.0
64,llama32_1b,qwen_receiver,0,0,1.0,1.0,2.0966551161905045e-08,1.387949648723312e-17,1.0
64,llama32_1b,qwen_receiver,4,4,1.0,1.0,2.4024350508966563e-08,2.1661040328910228e-16,1.0
64,llama32_1b,qwen_receiver,8,8,1.0,1.0,2.608741903979232e-08,6.5931699243610185e-15,1.0
64,llama32_1b,qwen_receiver,12,12,1.0,1.0,2.8434839075922962e-08,8.145853342713099e-14,1.0
64,llama32_1b,qwen_receiver,15,15,1.0,1.0,2.7138228257210056e-08,1.8618882500037796e-14,1.0
