budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.2,8,random_block,255.880859375,0.9995346069335938,0.9996371865272522,0.9997100830078125,6.880665068820235e-06,0.9998924732208252,6.880665750941262e-06,0.9998924732208252
0.2,8,random_token,51.0,0.19921875,0.19891290366649628,0.20090484619140625,0.014587162993848324,0.7328112423419952,0.014863542281091213,0.7333072423934937
0.2,8,recent_block,64.0,0.25,0.02764849364757538,0.0395050048828125,0.01559942401945591,0.19119426608085632,0.015967100858688354,0.5999134182929993
0.2,8,recent_token,51.0,0.19921875,0.01675454154610634,0.0243988037109375,0.016168083995580673,0.14600299298763275,0.016202490776777267,0.5887546539306641
0.2,8,sender_attn_block,108.640625,0.42437744140625,0.8646018505096436,0.861480712890625,0.002311214106157422,0.8701299428939819,0.0017143492586910725,0.9521912336349487
0.2,8,sender_k_norm,44.53466796875,0.1739635467529297,0.18055951595306396,0.2768402099609375,0.016496270895004272,0.6098425984382629,0.016029302030801773,0.6920188069343567
0.2,8,sender_kxreceived,40.2880859375,0.15737533569335938,0.27287447452545166,0.416717529296875,0.013539578765630722,0.6599534749984741,0.012957120314240456,0.7419633865356445
0.2,8,sender_received,40.0703125,0.156524658203125,0.28198546171188354,0.432525634765625,0.013443702831864357,0.6617698669433594,0.012846838682889938,0.7438311576843262
0.4,8,random_block,256.0,1.0,1.0,1.0,9.122249042141766e-17,1.0,0.0,1.0
0.4,8,random_token,102.0,0.3984375,0.3964930474758148,0.4009246826171875,0.008730830624699593,0.8341902494430542,0.008851113263517618,0.8341396152973175
0.4,8,recent_block,128.0,0.5,0.11430081725120544,0.1492156982421875,0.013737517409026623,0.4049609899520874,0.015288691967725754,0.6503785252571106
0.4,8,recent_token,102.0,0.3984375,0.07135874778032303,0.0958099365234375,0.014348664321005344,0.3196839392185211,0.015419097617268562,0.6324443817138672
0.4,8,sender_attn_block,108.640625,0.42437744140625,0.8646018505096436,0.861480712890625,0.002311214106157422,0.8701299428939819,0.0017143492586910725,0.9521912336349487
0.4,8,sender_k_norm,86.0205078125,0.3360176086425781,0.29937660694122314,0.4383087158203125,0.013598156161606312,0.674958348274231,0.013131186366081238,0.7571344971656799
0.4,8,sender_kxreceived,80.576171875,0.31475067138671875,0.4183531403541565,0.589447021484375,0.011532982811331749,0.720826268196106,0.01093611866235733,0.8028875589370728
0.4,8,sender_received,81.01171875,0.3164520263671875,0.4202191233634949,0.591552734375,0.01148596964776516,0.7212268114089966,0.010889104567468166,0.8032881021499634
