candidate_budget,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
8,qwen_sender,qwen_receiver,0,0,0.08844990283250809,0.34320068359375,1.823100209236145,0.01429438404738903,0.5555534958839417
8,qwen_sender,qwen_receiver,4,4,0.12610690295696259,0.2787017822265625,1.7477861642837524,0.07484341412782669,0.6967061758041382
8,qwen_sender,qwen_receiver,8,8,0.5020214319229126,0.246337890625,0.9959571361541748,0.4362998306751251,0.8036960363388062
8,qwen_sender,qwen_receiver,12,12,0.6756114363670349,0.2859649658203125,0.6482983231544495,2.584751844406128,0.8095207214355469
8,qwen_sender,qwen_receiver,15,15,0.3585965037345886,0.26580810546875,1.1545023918151855,5.540063858032227,0.5594316124916077
8,qwen_sender,llama32_1b,0,0,0.07036291621625423,0.06334304809570312,1.8592741191387177,0.0006445918552344665,0.729962021112442
8,qwen_sender,llama32_1b,4,4,0.05937701649963856,0.0739889144897461,1.8812459260225296,0.01341588469222188,0.6905764564871788
8,qwen_sender,llama32_1b,8,8,0.06622328981757164,0.09422969818115234,1.8675534129142761,0.02432708232663572,0.5929210558533669
8,qwen_sender,llama32_1b,12,12,0.06463027372956276,0.08844280242919922,1.8707395046949387,0.025950433686375618,0.6092303022742271
8,qwen_sender,llama32_1b,15,15,0.055505295749753714,0.07430076599121094,1.888989344239235,0.1070191664621234,0.6142624095082283
8,qwen_receiver,qwen_sender,0,0,0.08662450313568115,0.2857666015625,1.8267509937286377,0.012886423617601395,0.5773333311080933
8,qwen_receiver,qwen_sender,4,4,0.0986214205622673,0.2067413330078125,1.8027572631835938,0.0573277622461319,0.6210213303565979
8,qwen_receiver,qwen_sender,8,8,0.32359516620635986,0.291168212890625,1.3528096675872803,0.43427592515945435,0.8233221173286438
8,qwen_receiver,qwen_sender,12,12,0.381388783454895,0.2339324951171875,1.2175863981246948,4.369402885437012,0.8202149868011475
8,qwen_receiver,qwen_sender,15,15,0.2415035516023636,0.211090087890625,1.5169929265975952,1.0074172019958496,0.6435790061950684
8,qwen_receiver,llama32_1b,0,0,0.07160215266048908,0.0587615966796875,1.856795683503151,0.0008515044319210574,0.7228672653436661
8,qwen_receiver,llama32_1b,4,4,0.06573764886707067,0.09990596771240234,1.8685246855020523,0.01392455049790442,0.6924860626459122
8,qwen_receiver,llama32_1b,8,8,0.057265136390924454,0.07880020141601562,1.8854697197675705,0.024162141606211662,0.6148674413561821
8,qwen_receiver,llama32_1b,12,12,0.05189865967258811,0.07599735260009766,1.8962026685476303,0.031022169161587954,0.6045030429959297
8,qwen_receiver,llama32_1b,15,15,0.061203133780509233,0.07220649719238281,1.8775937408208847,0.11316423304378986,0.6283176243305206
8,llama32_1b,qwen_sender,0,0,0.08000664785504341,0.11962127685546875,1.8399866819381714,0.001873724744655192,0.8517293557524681
8,llama32_1b,qwen_sender,4,4,0.08081146329641342,0.07483291625976562,1.8383770436048508,0.011567927547730505,0.8495779186487198
8,llama32_1b,qwen_sender,8,8,0.06047493265941739,0.06933975219726562,1.7886535376310349,4.646779894828796,0.5358939096331596
8,llama32_1b,qwen_sender,12,12,0.05660563101992011,0.078125,1.5726302713155746,34.091816425323486,0.37588780373334885
8,llama32_1b,qwen_sender,15,15,0.07409181166440248,0.07379722595214844,1.8511051535606384,1.252852439880371,0.5299782529473305
8,llama32_1b,qwen_receiver,0,0,0.07933979667723179,0.080078125,1.8413204550743103,0.001981336041353643,0.8616342395544052
8,llama32_1b,qwen_receiver,4,4,0.07914118375629187,0.07576179504394531,1.8417176306247711,0.023982849903404713,0.8156262040138245
8,llama32_1b,qwen_receiver,8,8,0.07135056052356958,0.06926345825195312,1.5758425146341324,12.765943050384521,0.4051261246204376
8,llama32_1b,qwen_receiver,12,12,0.06458699516952038,0.07763099670410156,1.3515526801347733,111.7848253250122,0.23221494816243649
8,llama32_1b,qwen_receiver,15,15,0.1017196187749505,0.08780479431152344,1.264818787574768,7.327145934104919,0.32273316755890846
16,qwen_sender,qwen_receiver,0,0,0.15171973407268524,0.506256103515625,1.6965605020523071,0.011334475129842758,0.6164352893829346
16,qwen_sender,qwen_receiver,4,4,0.20456327497959137,0.4072418212890625,1.5908734798431396,0.0545656755566597,0.7489945292472839
16,qwen_sender,qwen_receiver,8,8,0.5567622184753418,0.316009521484375,0.8864755630493164,0.22966733574867249,0.8655565977096558
16,qwen_sender,qwen_receiver,12,12,0.7148725390434265,0.36383056640625,0.570254921913147,0.9510049819946289,0.858951985836029
