layer,method,full_ce,patched_ce,ce_delta,logit_kl,top1_match
8,baseline_1slot_linear,1.6527302861213684,1.6898115798830986,0.037081293761730194,0.0784090762026608,0.838857626542449
8,multislot_mlp,1.6527302861213684,1.68832066655159,0.03559038043022156,0.07894635922275484,0.8480308130383492
8,multislot_headwise_norm,1.6527302861213684,1.6870431751012802,0.034312888979911804,0.07908580848015845,0.8468077294528484
12,baseline_1slot_linear,1.6527302861213684,1.6873822920024395,0.03465200588107109,0.034651287307497114,0.8691291585564613
12,multislot_mlp,1.6527302861213684,1.679584540426731,0.0268542543053627,0.033915724721737206,0.8820939250290394
12,multislot_headwise_norm,1.6527302861213684,1.6733537577092648,0.020623471587896347,0.027387954876758158,0.8981775902211666
15,baseline_1slot_linear,1.6527302861213684,1.6824155747890472,0.029685288667678833,0.046535167028196156,0.9041707385331392
15,multislot_mlp,1.6527302861213684,1.6777663379907608,0.025036051869392395,0.04493740212637931,0.9074119254946709
15,multislot_headwise_norm,1.6527302861213684,1.6762757636606693,0.02354547753930092,0.045438433764502406,0.9083904083818197
