layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
8,learned_block_predictor,192.9735107421875,0.37690138816833496,0.3872695863246918,0.44183349609375,0.01027012977283448,0.7111830115318298,0.00961553945671767,0.8082013875246048
12,learned_block_predictor,189.27587890625,0.36967945098876953,0.3955613970756531,0.5698623657226562,0.01117477600928396,0.7058612108230591,0.010413741925731301,0.7988666594028473
15,learned_block_predictor,190.883544921875,0.3728194236755371,0.41307878494262695,0.5707550048828125,0.03227938525378704,0.8021440505981445,0.028760862769559026,0.9025783762335777
